epoch,training_loss,validation_loss,validation_roc_auc,learning_rate
1,0.3259941513938609,0.2986877391744971,0.9213710250362328,0.001
2,0.27025338329830095,0.3209194061862789,0.9311317101935264,0.001
3,0.25169198045795343,0.2750220980915308,0.9368836852425475,0.001
4,0.24324522374162516,0.28141919215872035,0.9348375912927336,0.001
