dataset,class_name,display_name,temperature,positive_count,raw_ece,calibrated_ece,raw_brier,calibrated_brier,raw_log_loss,calibrated_log_loss
chapman_test,sinus_rhythm,Sinus rhythm,1.2490020338843935,814,0.06280231056449585,0.06958402026353408,0.045494897756974094,0.04564634517007447,0.17069362619896997,0.1657553887182633
ptbxl_external,sinus_rhythm,Sinus rhythm,1.2490020338843935,1674,0.16991874038971197,0.15322635483753694,0.18366375414684985,0.1773308297988706,0.845464113685091,0.7074641491237882
chapman_test,sinus_bradycardia,Sinus bradycardia,0.7707190737712273,1655,0.01571230782421629,0.013355312094303764,0.011271901340218009,0.010862984685333603,0.041287240391888705,0.039871895284468585
ptbxl_external,sinus_bradycardia,Sinus bradycardia,0.7707190737712273,64,0.13602247363645403,0.13467589967182653,0.12349138278398326,0.1259666864188833,0.7552945321158421,0.965480535491153
chapman_test,sinus_tachycardia,Sinus tachycardia,0.947624068949882,726,0.008868876470334358,0.007708219162431215,0.011111033552641703,0.011116956000032088,0.04561033798186089,0.04546939762578525
ptbxl_external,sinus_tachycardia,Sinus tachycardia,0.947624068949882,82,0.023566294445168334,0.022319303451435554,0.01647757590102601,0.01654502037433841,0.07917846491219989,0.08104962958637564
chapman_test,sinus_arrhythmia,Sinus arrhythmia,2.3676798941352724,255,0.32809737785337056,0.3347356263364789,0.22281699087314794,0.188426599526504,0.625442210947346,0.5347493097703585
ptbxl_external,sinus_arrhythmia,Sinus arrhythmia,2.3676798941352724,77,0.5626355506016606,0.4960818783679667,0.4203227399267251,0.3073844492080211,1.1396025269757297,0.8052781779912664
chapman_test,atrial_fibrillation,Atrial fibrillation,1.8593487613883835,178,0.16842996528157944,0.18259642591719955,0.1359038256093565,0.10820225472387723,0.3826499166467997,0.31578622706736426
ptbxl_external,atrial_fibrillation,Atrial fibrillation,1.8593487613883835,152,0.036192749653739774,0.09561800024002017,0.026505812339124937,0.03518436060623667,0.09795958765788777,0.15648500686182906
chapman_test,atrial_flutter,Atrial flutter,1.2408254115941804,806,0.05836088299153656,0.05951622886959577,0.05250106109612111,0.05109296738769002,0.1802146459045317,0.17510411855031538
ptbxl_external,atrial_flutter,Atrial flutter,1.2408254115941804,7,0.1437834392068262,0.15618669367814347,0.10162302452720734,0.09677347740358681,0.33328408031575635,0.3049284532105891
