dataset,reference_class,output_class,reference_support,mean_output_probability,positive_output_rate,is_target_diagonal
ptbxl_external,sinus_arrhythmia,atrial_fibrillation,77,0.02873439277012987,0.0,False
ptbxl_external,sinus_arrhythmia,atrial_flutter,77,0.07977008827272726,0.012987012987012988,False
ptbxl_external,atrial_fibrillation,sinus_rhythm,152,0.04396643223914474,0.02631578947368421,False
ptbxl_external,atrial_fibrillation,sinus_bradycardia,152,0.012022403346282894,0.006578947368421052,False
ptbxl_external,atrial_fibrillation,sinus_tachycardia,152,0.03642881729276316,0.02631578947368421,False
ptbxl_external,atrial_fibrillation,sinus_arrhythmia,152,0.04883227545111842,0.013157894736842105,False
ptbxl_external,atrial_fibrillation,atrial_fibrillation,152,0.8056137384796053,0.6776315789473685,True
ptbxl_external,atrial_fibrillation,atrial_flutter,152,0.8802294894888159,0.9078947368421053,False
ptbxl_external,atrial_flutter,sinus_rhythm,7,0.14379535968285714,0.14285714285714285,False
ptbxl_external,atrial_flutter,sinus_bradycardia,7,0.00044655840857142854,0.0,False
ptbxl_external,atrial_flutter,sinus_tachycardia,7,0.020958191957142856,0.0,False
ptbxl_external,atrial_flutter,sinus_arrhythmia,7,0.07033368286857143,0.0,False
ptbxl_external,atrial_flutter,atrial_fibrillation,7,0.6860402840857143,0.5714285714285714,False
ptbxl_external,atrial_flutter,atrial_flutter,7,0.8218107097142857,0.8571428571428571,True
