class_name,display_name,chapman_prevalence,ptbxl_prevalence,prevalence_ratio_ptbxl_to_chapman,chapman_average_precision,ptbxl_average_precision,average_precision_change,chapman_sensitivity,ptbxl_sensitivity,sensitivity_change,chapman_precision,ptbxl_precision,precision_change
sinus_rhythm,Sinus rhythm,0.1876873414802859,0.7616014558689718,4.057820041896475,0.9362563400623802,0.9341831797722886,-0.0020731602900916357,0.9398034398034398,0.7771804062126643,-0.16262303359077557,0.8683314415437003,0.9142656359803233,0.045934194436622944
sinus_bradycardia,Sinus bradycardia,0.38160018445930366,0.029117379435850774,0.07630336834639566,0.9988661811259407,0.1492072569890478,-0.8496589241368929,0.9854984894259818,0.96875,-0.01674848942598184,0.9849033816425121,0.16358839050131926,-0.8213149911411929
sinus_tachycardia,Sinus tachycardia,0.16739681807701176,0.0373066424021838,0.222863509777233,0.9894795499614687,0.8746278948604148,-0.11485165510105388,0.9752066115702479,0.9634146341463414,-0.011791977423906475,0.9427430093209055,0.6220472440944882,-0.3206957652264173
sinus_arrhythmia,Sinus arrhythmia,0.05879640304357851,0.03503184713375796,0.5958161608592482,0.45177747103451915,0.08353976105468366,-0.3682377099798355,0.45098039215686275,0.22077922077922077,-0.23020117137764198,0.391156462585034,0.07657657657657657,-0.31457988600845743
atrial_fibrillation,Atrial fibrillation,0.041042195065713626,0.06915377616014559,1.6849434112727608,0.23690761297651913,0.8455159733407178,0.6086083603641987,0.8146067415730337,0.6776315789473685,-0.13697516262566523,0.21641791044776118,0.8512396694214877,0.6348217589737265
atrial_flutter,Atrial flutter,0.18584274844362464,0.0031847133757961785,0.01713660286703229,0.841737816765468,0.092447411231228,-0.74929040553424,0.9751861042183623,0.8571428571428571,-0.11804324707550518,0.7875751503006012,0.02912621359223301,-0.7584489367083682
