epoch,training_loss,validation_loss,validation_macro_average_precision,learning_rate
1,0.4960200345036509,0.38235516993233154,0.7101152222747925,0.001
2,0.3412018725922346,0.3618020860251518,0.7217535631373151,0.001
3,0.3226822943859525,0.3190258792649842,0.7265175505811571,0.001
4,0.30631480848694376,0.33625425782302903,0.7324299423150297,0.001
