epoch,training_loss,validation_loss,validation_macro_average_precision,learning_rate
1,0.5032584372361502,0.388254549741745,0.29265863179641655,0.000988248307850549
2,0.3841864217917124,0.33564543644587197,0.36968255669384736,0.000681652836879626
3,0.3325289902687073,0.27186499094963074,0.5270064998782881,0.00021359528769629018
4,0.30762424794832866,0.2653563510576884,0.5524237857429208,1.1307533447348461e-07
