diagnostic_class,count,detection_sensitivity,mean_abnormal_probability,false_negative_count
MI,550,0.8309090909090909,0.8014122734454546,93
STTC,521,0.8829174664107485,0.8323333215316698,61
CD,496,0.8306451612903226,0.7997561273629032,84
HYP,262,0.8625954198473282,0.8282052802557252,36
