category,group,count,abnormal_prevalence,accuracy,balanced_accuracy,f1,precision,sensitivity,specificity,confusion_matrix,roc_auc,average_precision
sex,Female,1048,0.5925572519083969,0.8387404580152672,0.8485652437897626,0.8539325842696629,0.9216417910447762,0.7954911433172303,0.9016393442622951,"[[385, 42], [127, 494]]",0.9241270595511508,0.9534024797479365
sex,Male,1110,0.5630630630630631,0.8468468468468469,0.8540701030927835,0.8542024013722127,0.9205175600739371,0.7968,0.911340206185567,"[[442, 43], [127, 498]]",0.9294482474226804,0.9522621930098407
age,0-39,284,0.2323943661971831,0.8450704225352113,0.7089241034195163,0.5769230769230769,0.7894736842105263,0.45454545454545453,0.963302752293578,"[[210, 8], [36, 30]]",0.8237420072282458,0.6617440036117015
age,40-59,639,0.41471048513302033,0.8262910798122066,0.8076127535062052,0.7692307692307693,0.8564814814814815,0.6981132075471698,0.9171122994652406,"[[343, 31], [80, 185]]",0.8947633942084553,0.8848288913068115
age,60-79,914,0.6706783369803063,0.8315098468271335,0.839724030285129,0.8665511265164645,0.9242144177449169,0.8156606851549756,0.8637873754152824,"[[260, 41], [113, 500]]",0.9234525480589444,0.9649180348242694
age,80+ (includes privacy-coded 90+),321,0.940809968847352,0.9065420560747663,0.8270303241547577,0.9486301369863014,0.9822695035460993,0.9172185430463576,0.7368421052631579,"[[14, 5], [25, 277]]",0.9208783548274659,0.9946857253162393
signal_quality,Annotated signal issue,513,0.5750487329434698,0.8304093567251462,0.8351811537863474,0.8449197860962567,0.8909774436090225,0.8033898305084746,0.8669724770642202,"[[189, 29], [58, 237]]",0.915409734100451,0.9443000394426379
signal_quality,No annotated issue,1645,0.5781155015197569,0.8468085106382979,0.8566047570129425,0.8569807037457434,0.9309494451294698,0.7939011566771819,0.9193083573487032,"[[638, 56], [196, 755]]",0.9304993681760744,0.9553514169215165
