validation_rank,experiment,path,input_leads,sampling_frequency_hz,validation_macro_ap,validation_macro_auroc,chapman_test_macro_ap,chapman_test_macro_auroc,ptbxl_fold10_macro_ap,ptbxl_fold10_macro_auroc,ptbxl_fold10_exact_match,ptbxl_sinus_rhythm_ap,ptbxl_sinus_rhythm_sensitivity,ptbxl_sinus_rhythm_specificity,ptbxl_sinus_bradycardia_ap,ptbxl_sinus_bradycardia_sensitivity,ptbxl_sinus_bradycardia_specificity,ptbxl_sinus_tachycardia_ap,ptbxl_sinus_tachycardia_sensitivity,ptbxl_sinus_tachycardia_specificity,ptbxl_sinus_arrhythmia_ap,ptbxl_sinus_arrhythmia_sensitivity,ptbxl_sinus_arrhythmia_specificity,ptbxl_atrial_fibrillation_ap,ptbxl_atrial_fibrillation_sensitivity,ptbxl_atrial_fibrillation_specificity,ptbxl_atrial_flutter_ap,ptbxl_atrial_flutter_sensitivity,ptbxl_atrial_flutter_specificity
1,2lead_100hz,C:\Projetos\PFE 5A\Software\artifacts\rhythm_ablations\2lead_100hz\metrics.json,"I,II",100,0.6805954917546186,0.926096414098463,0.7186982222739776,0.9361376143999757,0.49684275199865713,0.8318230141745963,0.5623293903548681,0.9324385540215655,0.6535244922341696,0.8320610687022901,0.192594360501652,0.625,0.9044048734770385,0.7337031135163222,0.7073170731707317,0.9867674858223062,0.3355449837361457,0.5194805194805194,0.9622819424799622,0.7821501049439127,0.21710526315789475,1.0,0.004625395272344441,0.0,0.9821999087174806
2,3lead_100hz,C:\Projetos\PFE 5A\Software\artifacts\rhythm_ablations\3lead_100hz\metrics.json,"I,II,III",100,0.6658375492051668,0.9150883706756255,0.7048947654054455,0.926347199715348,0.47919696208334983,0.8451006604481343,0.5013648771610555,0.9254367323525778,0.5943847072879331,0.8492366412213741,0.12345490167578252,0.53125,0.9081537019681349,0.722409759094124,0.7195121951219512,0.9829867674858223,0.3312859687860523,0.6363636363636364,0.9467232437529467,0.7669471555489955,0.20394736842105263,0.9995112414467253,0.005647255042566959,0.0,0.9831127339114559
3,3lead_250hz,C:\Projetos\PFE 5A\Software\artifacts\rhythm_ablations\3lead_250hz\metrics.json,"I,II,III",250,0.644808591141712,0.905647207578641,0.6692214607399022,0.919702867908485,0.4458298002364658,0.8476966899011056,0.4262966333030027,0.9208135921279775,0.4743130227001195,0.8969465648854962,0.1899618367405658,0.515625,0.9208059981255857,0.43423985317313346,0.5121951219512195,0.9825141776937618,0.30676395378073107,0.4675324675324675,0.9660537482319661,0.8136968186934803,0.13157894736842105,1.0,0.009502746902906473,0.0,0.9780921953445915
4,3lead_500hz,C:\Projetos\PFE 5A\Software\artifacts\rhythm_ablations\3lead_500hz\metrics.json,"I,II,III",500,0.5524237857429208,0.8620130469560409,0.561863962276957,0.8791240372377703,0.33625428835359944,0.7566600881734825,0.1969972702456779,0.8847813117872573,0.19414575866188769,0.933206106870229,0.16627347132325024,0.296875,0.9484536082474226,0.2367463830301565,0.3902439024390244,0.9640831758034026,0.2617710809794997,0.44155844155844154,0.9585101367279585,0.46450447112526655,0.07894736842105263,0.9956011730205279,0.003449011876166601,0.0,0.9794614331355546
