dataset,class,baseline_average_precision,advanced_average_precision,average_precision_change
chapman_heldout,sinus_rhythm,0.9291188028498494,0.9619483336285795,0.032829530778730076
chapman_heldout,sinus_bradycardia,0.9976034621785728,0.9984284318840115,0.0008249697054387717
chapman_heldout,sinus_tachycardia,0.9897409663950708,0.9906235509222182,0.0008825845271474009
chapman_heldout,sinus_arrhythmia,0.344253874379596,0.7741294431346183,0.4298755687550223
chapman_heldout,atrial_fibrillation,0.2444109800098238,0.21695588120188616,-0.027455098807937645
chapman_heldout,atrial_flutter,0.8057079807732144,0.7981275982865358,-0.007580382486678583
ptbxl_fold10,sinus_rhythm,0.9255761403766618,0.9403090998803292,0.014732959503667376
ptbxl_fold10,sinus_bradycardia,0.13644451492618642,0.19539055504203318,0.058946040115846754
ptbxl_fold10,sinus_tachycardia,0.8484405208598854,0.8874571781033185,0.03901665724343306
ptbxl_fold10,sinus_arrhythmia,0.07293917178370643,0.3073972043033399,0.23445803251963346
ptbxl_fold10,atrial_fibrillation,0.8034600297611957,0.9109299229368074,0.10746989317561173
ptbxl_fold10,atrial_flutter,0.03404985250935638,0.42353254221616166,0.3894826897068053
