dataset,class_name,display_name,temperature,positive_count,raw_ece,calibrated_ece,raw_brier,calibrated_brier,raw_log_loss,calibrated_log_loss
chapman_test,sinus_rhythm,Sinus rhythm,1.1289871428819827,814,0.029753546913762557,0.032653912441606134,0.03680004062762628,0.0366325138749039,0.13472855659058205,0.1333967351613986
ptbxl_external,sinus_rhythm,Sinus rhythm,1.1289871428819827,1674,0.17185751099658375,0.16617006021340275,0.19846321816756676,0.19561783264836516,0.9641208565536852,0.875709428420167
chapman_test,sinus_bradycardia,Sinus bradycardia,1.1379522555710608,1657,0.010352450207420151,0.010916557882660114,0.012452673696688418,0.01234920336694052,0.04662380949537643,0.04618061195029992
ptbxl_external,sinus_bradycardia,Sinus bradycardia,1.1379522555710608,64,0.17174420725770206,0.1737677734838566,0.1535214903159082,0.15167099576763324,0.965407314868135,0.8580580293866686
chapman_test,sinus_tachycardia,Sinus tachycardia,1.1599384611888794,724,0.01278007682794595,0.01512809621304932,0.012300977250905376,0.012258892852639609,0.049384441757869116,0.04907810938323715
ptbxl_external,sinus_tachycardia,Sinus tachycardia,1.1599384611888794,82,0.02530530527005459,0.028579057178399994,0.02061184285788386,0.020279588545030917,0.09426121864303649,0.08764020274959529
chapman_test,sinus_arrhythmia,Sinus arrhythmia,1.780305462322156,257,0.26824080771807307,0.29174020768457914,0.18016900126590504,0.16679285636933067,0.537564321977785,0.486859466696379
ptbxl_external,sinus_arrhythmia,Sinus arrhythmia,1.780305462322156,77,0.5662402686069882,0.5199996641644247,0.43540931469990657,0.34722605438538956,1.2026625358091616,0.9047099463237228
chapman_test,atrial_fibrillation,Atrial fibrillation,1.6470855519264227,178,0.12035009547054928,0.12359428146277003,0.09415115979435577,0.08046077113640258,0.2563697382165677,0.22768904421316732
ptbxl_external,atrial_fibrillation,Atrial fibrillation,1.6470855519264227,152,0.010122202003872156,0.04333843813981758,0.02072307060036698,0.02405782439343853,0.07789663930844286,0.10070587176236961
chapman_test,atrial_flutter,Atrial flutter,1.5174275102899943,804,0.06795505317675306,0.06921034541625165,0.06356529897359349,0.05900385528130426,0.22398548990217332,0.19724593411029753
ptbxl_external,atrial_flutter,Atrial flutter,1.5174275102899943,7,0.12165237794581893,0.14595467440931204,0.09310054112569192,0.0850630263473503,0.3280082707556898,0.27400158034818284
