dataset,reference_class,output_class,reference_support,mean_output_probability,positive_output_rate,is_target_diagonal
ptbxl_external,sinus_arrhythmia,atrial_fibrillation,77,0.014509235863636364,0.0,False
ptbxl_external,sinus_arrhythmia,atrial_flutter,77,0.05024973662467532,0.012987012987012988,False
ptbxl_external,atrial_fibrillation,sinus_rhythm,152,0.06276040529144737,0.02631578947368421,False
ptbxl_external,atrial_fibrillation,sinus_bradycardia,152,0.015422025844276316,0.006578947368421052,False
ptbxl_external,atrial_fibrillation,sinus_tachycardia,152,0.02906430943855263,0.006578947368421052,False
ptbxl_external,atrial_fibrillation,sinus_arrhythmia,152,0.07435885964671052,0.0,False
ptbxl_external,atrial_fibrillation,atrial_fibrillation,152,0.6683000697414474,0.5131578947368421,True
ptbxl_external,atrial_fibrillation,atrial_flutter,152,0.8982666979901314,0.9013157894736842,False
ptbxl_external,atrial_flutter,sinus_rhythm,7,0.14976582747142855,0.14285714285714285,False
ptbxl_external,atrial_flutter,sinus_bradycardia,7,0.0018086983571428568,0.0,False
ptbxl_external,atrial_flutter,sinus_tachycardia,7,0.019919534614285715,0.0,False
ptbxl_external,atrial_flutter,sinus_arrhythmia,7,0.08772511362857141,0.0,False
ptbxl_external,atrial_flutter,atrial_fibrillation,7,0.3222465715714286,0.0,False
ptbxl_external,atrial_flutter,atrial_flutter,7,0.8055603009142857,0.8571428571428571,True
